Date,Price
2020-06-19,194.65
2020-06-22,190.98
2020-06-23,194.53
2020-06-24,191.35
2020-06-25,191.25
2020-06-26,187.63
2020-06-29,185.72
2020-06-30,179.09
2020-07-01,174.19
2020-07-02,174.41
2020-07-03,173.99
2020-07-06,174.88
2020-07-07,178.58
2020-07-08,186.11
2020-07-09,184.72
2020-07-10,178.72
2020-07-13,177.95
2020-07-14,183.29
2020-07-15,179.33
2020-07-16,175.4
2020-07-17,173.6
2020-07-20,173.45
2020-07-21,176.07
2020-07-22,177.77
2020-07-23,178.46
2020-07-24,168.95
2020-07-27,167.13
2020-07-28,162.44
2020-07-29,160.63
2020-07-30,157.44
2020-07-31,155.72
2020-08-03,156.98
2020-08-04,155.05
2020-08-05,148.38
2020-08-06,148.91
2020-08-07,145.13
2020-08-10,142.79
2020-08-11,140.55
2020-08-12,136.02
2020-08-13,130.25
2020-08-14,129.16
2020-08-17,129.81
2020-08-18,130.81
2020-08-19,122.11
2020-08-20,119.92
2020-08-21,120.45
2020-08-24,124.13
2020-08-25,125.68
2020-08-26,121.29
2020-08-27,118.88
2020-08-28,120.42
2020-08-31,117.24
2020-09-01,110.97
2020-09-02,108.75
2020-09-03,107.56
2020-09-04,107.31
2020-09-07,104.99
2020-09-08,105.48
2020-09-09,103.65
2020-09-10,103.71
2020-09-11,102.65
2020-09-14,97.9
2020-09-15,93.29
2020-09-16,88.84
2020-09-17,88.5
2020-09-18,87.59
2020-09-21,84.85
2020-09-22,84.91
2020-09-23,82.23
2020-09-24,78.44
2020-09-25,77.77
2020-09-28,78.64
2020-09-29,78.87
2020-09-30,76.73
2020-10-01,73.34
2020-10-02,72.49
2020-10-05,73.89
2020-10-06,74.6
2020-10-07,74.61
2020-10-08,72.56
2020-10-09,70.19
2020-10-12,70.48
2020-10-13,67.84
2020-10-14,69.9
2020-10-15,70.55
2020-10-16,68.66
2020-10-19,67.91
2020-10-20,65.22
2020-10-21,64.26
2020-10-22,65.36
2020-10-23,67.29
2020-10-26,67.71
2020-10-27,64.11
2020-10-28,64.28
2020-10-29,64.48
2020-10-30,63.53
2020-11-02,64.3
2020-11-03,62.43
2020-11-04,62.92
2020-11-05,62.45
2020-11-06,62.79
2020-11-09,65.5
2020-11-10,65.68
2020-11-11,64.81
2020-11-12,63.41
2020-11-13,62.87
2020-11-16,62.73
2020-11-17,61.89
2020-11-18,64.21
2020-11-19,64.86
2020-11-20,64.27
2020-11-23,66.06
2020-11-24,63.88
2020-11-25,65.59
2020-11-26,67.3
2020-11-27,70.18
2020-11-30,70.54
2020-12-01,72.27
2020-12-02,73.1
2020-12-03,74.2
2020-12-04,72.94
2020-12-07,75.41
2020-12-08,76.2
2020-12-09,74.6
2020-12-10,74.77
2020-12-11,72.34
2020-12-14,70.2
2020-12-15,69.26
2020-12-16,70.68
2020-12-17,72.98
2020-12-18,72.18
2020-12-21,72.15
2020-12-22,72.94
2020-12-23,73.39
2020-12-24,74.24
2020-12-25,73.04
2020-12-28,74.46
2020-12-29,74.78
2020-12-30,74.75
2020-12-31,76.39
2021-01-01,77.5
2021-01-04,78.96
2021-01-05,79.44
2021-01-06,82.64
2021-01-07,82.93
2021-01-08,86.13
2021-01-11,86.5
2021-01-12,88.62
2021-01-13,87.77
2021-01-14,85.47
2021-01-15,88.1
2021-01-18,88.34
2021-01-19,90.8
2021-01-20,94.41
2021-01-21,94.08
2021-01-22,94.03
2021-01-25,95.4
2021-01-26,96.05
2021-01-27,97.4
2021-01-28,100.4
2021-01-29,99.67
2021-02-01,100.67
2021-02-02,104.45
2021-02-03,107.68
2021-02-04,111.09
2021-02-05,111.0
2021-02-08,112.69
2021-02-09,115.32
2021-02-10,117.84
2021-02-11,117.85
2021-02-12,122.01
2021-02-15,125.34
2021-02-16,124.11
2021-02-17,127.49
2021-02-18,132.7
2021-02-19,133.31
2021-02-22,134.67
2021-02-23,140.16
2021-02-24,137.73
2021-02-25,135.38
2021-02-26,139.02
2021-03-01,139.66
2021-03-02,136.66
2021-03-03,133.34
2021-03-04,136.17
2021-03-05,142.38
2021-03-08,142.18
2021-03-09,141.78
2021-03-10,141.95
2021-03-11,142.09
2021-03-12,146.3
2021-03-15,141.68
2021-03-16,143.96
2021-03-17,150.88
2021-03-18,154.63
2021-03-19,155.89
2021-03-22,158.77
2021-03-23,163.85
2021-03-24,163.36
2021-03-25,159.98
2021-03-26,163.07
2021-03-29,166.59
2021-03-30,165.54
2021-03-31,168.0
2021-04-01,166.59
2021-04-02,174.72
2021-04-05,172.09
2021-04-06,173.78
2021-04-07,177.36
2021-04-08,178.59
2021-04-09,179.23
2021-04-12,191.19
2021-04-13,196.47
2021-04-14,188.21
2021-04-15,194.14
2021-04-16,197.41
2021-04-19,195.84
2021-04-20,187.7
2021-04-21,192.8
2021-04-22,200.71
2021-04-23,197.25
2021-04-26,196.02
2021-04-27,198.01
2021-04-28,200.16
2021-04-29,202.32
2021-04-30,204.58
2021-05-03,202.23
2021-05-04,202.53
2021-05-05,200.29
2021-05-06,203.83
2021-05-07,205.73
2021-05-10,210.68
2021-05-11,209.5
2021-05-12,204.6
2021-05-13,201.12
2021-05-14,201.1
2021-05-17,199.86
2021-05-18,207.98
2021-05-19,208.36
2021-05-20,208.36
2021-05-21,209.07
2021-05-24,204.64
2021-05-25,203.23
2021-05-26,205.19
2021-05-27,212.14
2021-05-28,211.23
2021-05-31,208.35
2021-06-01,205.46
2021-06-02,201.71
2021-06-03,203.68
2021-06-04,197.0
2021-06-07,203.41
2021-06-08,196.54
2021-06-09,197.99
2021-06-10,204.17
2021-06-11,205.71
2021-06-14,206.75
2021-06-15,209.71
2021-06-16,207.71
2021-06-17,203.21
2021-06-18,203.72
2021-06-21,203.16
2021-06-22,197.85
2021-06-23,201.47
2021-06-24,204.39
2021-06-25,200.26
2021-06-28,191.5
2021-06-29,190.77
2021-06-30,194.1
2021-07-01,194.55
2021-07-02,194.54
2021-07-05,192.73
2021-07-06,193.42
2021-07-07,197.77
2021-07-08,195.22
2021-07-09,189.6
2021-07-12,191.49
2021-07-13,187.55
2021-07-14,182.03
2021-07-15,184.82
2021-07-16,186.16
2021-07-19,182.35
2021-07-20,185.31
2021-07-21,184.13
2021-07-22,188.85
2021-07-23,185.01
2021-07-26,182.82
2021-07-27,181.97
2021-07-28,180.88
2021-07-29,180.87
2021-07-30,182.52
2021-08-02,181.35
2021-08-03,188.42
2021-08-04,188.53
2021-08-05,187.86
2021-08-06,185.82
2021-08-09,192.49
2021-08-10,192.08
2021-08-11,189.7
2021-08-12,186.79
2021-08-13,185.4
2021-08-16,183.49
2021-08-17,175.22
2021-08-18,174.36
2021-08-19,174.92
2021-08-20,176.42
2021-08-23,180.54
2021-08-24,186.44
2021-08-25,193.04
2021-08-26,194.02
2021-08-27,189.04
2021-08-30,191.41
2021-08-31,191.9
2021-09-01,192.28
2021-09-02,187.65
2021-09-03,182.71
2021-09-06,181.96
2021-09-07,181.06
2021-09-08,182.25
2021-09-09,179.5
2021-09-10,182.12
2021-09-13,181.79
2021-09-14,180.27
2021-09-15,175.33
2021-09-16,176.67
2021-09-17,173.79
2021-09-20,171.04
2021-09-21,168.92
2021-09-22,176.92
2021-09-23,177.2
2021-09-24,175.96
2021-09-27,178.66
2021-09-28,185.68
2021-09-29,187.48
2021-09-30,190.21
2021-10-01,186.29
2021-10-04,187.69
2021-10-05,185.88
2021-10-06,187.62
2021-10-07,181.29
2021-10-08,184.9
2021-10-11,178.01
2021-10-12,176.49
2021-10-13,175.93
2021-10-14,173.71
2021-10-15,173.86
2021-10-18,172.71
2021-10-19,171.85
2021-10-20,167.92
2021-10-21,164.83
2021-10-22,160.0
2021-10-25,155.79
2021-10-26,163.39
2021-10-27,161.9
2021-10-28,159.36
2021-10-29,152.49
2021-11-01,149.75
2021-11-02,146.58
2021-11-03,145.84
2021-11-04,146.05
2021-11-05,145.54
2021-11-08,139.64
2021-11-09,142.42
2021-11-10,145.57
2021-11-11,141.97
2021-11-12,140.62
2021-11-15,142.81
2021-11-16,137.86
2021-11-17,131.44
2021-11-18,126.51
2021-11-19,127.93
2021-11-22,129.08
2021-11-23,125.97
2021-11-24,124.36
2021-11-25,122.4
2021-11-26,119.5
2021-11-29,119.01
2021-11-30,122.06
2021-12-01,118.92
2021-12-02,118.15
2021-12-03,119.57
2021-12-06,115.99
2021-12-07,116.05
2021-12-08,117.41
2021-12-09,113.82
2021-12-10,115.83
2021-12-13,118.14
2021-12-14,121.46
2021-12-15,121.87
2021-12-16,119.73
2021-12-17,119.44
2021-12-20,117.92
2021-12-21,117.95
2021-12-22,117.81
2021-12-23,112.97
2021-12-24,112.51
2021-12-27,111.35
2021-12-28,110.46
2021-12-29,107.12
2021-12-30,104.03
2021-12-31,103.25
2022-01-03,105.24
2022-01-04,102.25
2022-01-05,98.76
2022-01-06,100.43
2022-01-07,99.99
2022-01-10,102.2
2022-01-11,99.82
2022-01-12,100.59
2022-01-13,102.21
2022-01-14,100.21
2022-01-17,100.11
2022-01-18,99.46
2022-01-19,95.91
2022-01-20,93.27
2022-01-21,90.16
2022-01-24,90.93
2022-01-25,89.99
2022-01-26,88.94
2022-01-27,87.59
2022-01-28,88.77
2022-01-31,87.16
2022-02-01,89.26
2022-02-02,90.59
2022-02-03,89.57
2022-02-04,87.07
2022-02-07,87.51
2022-02-08,89.94
2022-02-09,87.14
2022-02-10,86.6
2022-02-11,83.44
2022-02-14,81.26
2022-02-15,85.89
2022-02-16,84.13
2022-02-17,85.72
2022-02-18,84.57
2022-02-21,81.07
2022-02-22,80.86
2022-02-23,81.51
2022-02-24,80.92
2022-02-25,80.57
2022-02-28,79.73
2022-03-01,81.85
2022-03-02,83.51
2022-03-03,85.98
2022-03-04,87.15
2022-03-07,87.88
2022-03-08,86.62
2022-03-09,87.72
2022-03-10,86.63
2022-03-11,85.78
2022-03-14,86.89
2022-03-15,86.51
2022-03-16,85.04
2022-03-17,85.73
2022-03-18,85.75
2022-03-21,88.82
2022-03-22,90.09
2022-03-23,90.74
2022-03-24,90.34
2022-03-25,91.44
2022-03-28,92.76
2022-03-29,97.08
2022-03-30,97.69
2022-03-31,98.47
2022-04-01,95.18
2022-04-04,97.6
2022-04-05,97.21
2022-04-06,95.46
2022-04-07,97.3
2022-04-08,100.72
2022-04-11,98.56
2022-04-12,100.11
2022-04-13,100.09
2022-04-14,102.2
2022-04-15,102.57
2022-04-18,106.15
2022-04-19,109.8
2022-04-20,110.72
2022-04-21,114.05
2022-04-22,118.83
2022-04-25,115.09
2022-04-26,116.2
2022-04-27,115.68
2022-04-28,119.79
2022-04-29,118.59
2022-05-02,122.5
2022-05-03,124.02
2022-05-04,125.02
2022-05-05,124.63
2022-05-06,123.15
2022-05-09,123.85
2022-05-10,126.2
2022-05-11,122.87
2022-05-12,121.95
2022-05-13,121.53
2022-05-16,123.69
2022-05-17,122.14
2022-05-18,120.61
2022-05-19,121.11
2022-05-20,129.19
2022-05-23,131.62
2022-05-24,131.9
2022-05-25,134.72
2022-05-26,135.76
2022-05-27,139.93
2022-05-30,141.3
2022-05-31,140.05
2022-06-01,143.19
2022-06-02,150.8
2022-06-03,161.19
2022-06-06,162.89
2022-06-07,161.06
2022-06-08,154.13
2022-06-09,153.78
2022-06-10,153.81
2022-06-13,154.59
2022-06-14,152.18
2022-06-15,155.57
2022-06-16,153.98
2022-06-17,155.03
2022-06-20,155.27
2022-06-21,155.3
2022-06-22,157.43
2022-06-23,152.5
2022-06-24,155.7
2022-06-27,159.28
2022-06-28,158.11
2022-06-29,160.41
2022-06-30,162.52
2022-07-01,160.87
2022-07-04,160.2
2022-07-05,155.64
2022-07-06,159.99
2022-07-07,161.06
2022-07-08,158.96
2022-07-11,162.32
2022-07-12,162.35
2022-07-13,161.68
2022-07-14,161.03
2022-07-15,164.46
2022-07-18,163.73
2022-07-19,167.72
2022-07-20,166.44
2022-07-21,165.82
2022-07-22,169.28
2022-07-25,169.87
2022-07-26,172.29
2022-07-27,169.3
2022-07-28,174.31
2022-07-29,179.41
2022-08-01,176.87
2022-08-02,175.04
2022-08-03,172.31
2022-08-04,171.0
2022-08-05,174.38
2022-08-08,176.3
2022-08-09,172.04
2022-08-10,176.39
2022-08-11,177.92
2022-08-12,182.64
2022-08-15,184.63
2022-08-16,187.48
2022-08-17,185.52
2022-08-18,190.53
2022-08-19,192.77
2022-08-22,182.96
2022-08-23,181.84
2022-08-24,182.2
2022-08-25,185.35
2022-08-26,186.2
2022-08-29,189.44
2022-08-30,186.25
2022-08-31,184.39
2022-09-01,183.16
2022-09-02,185.14
2022-09-05,184.81
2022-09-06,181.01
2022-09-07,179.9
2022-09-08,180.61
2022-09-09,176.25
2022-09-12,175.48
2022-09-13,173.47
2022-09-14,175.34
2022-09-15,173.87
2022-09-16,173.18
2022-09-19,173.38
2022-09-20,173.94
2022-09-21,175.08
2022-09-22,173.22
2022-09-23,171.92
2022-09-26,173.77
2022-09-27,175.49
2022-09-28,178.52
2022-09-29,176.3
2022-09-30,176.0
2022-10-03,177.98
2022-10-04,176.0
2022-10-05,180.21
2022-10-06,176.46
2022-10-07,175.36
2022-10-10,173.11
2022-10-11,177.64
2022-10-12,172.53
2022-10-13,172.27
2022-10-14,175.31
2022-10-17,173.46
2022-10-18,174.76
2022-10-19,170.92
2022-10-20,177.25
2022-10-21,178.57
2022-10-24,178.73
2022-10-25,182.19
2022-10-26,182.8
2022-10-27,190.67
2022-10-28,187.48
2022-10-31,184.49
2022-11-01,179.4
2022-11-02,174.07
2022-11-03,174.79
2022-11-04,176.72
2022-11-07,175.3
2022-11-08,177.18
2022-11-09,170.88
2022-11-10,169.54
2022-11-11,173.16
2022-11-14,171.65
2022-11-15,179.87
2022-11-16,182.7
2022-11-17,177.38
2022-11-18,175.34
2022-11-21,171.58
2022-11-22,165.86
2022-11-23,165.58
2022-11-24,167.26
2022-11-25,165.09
2022-11-28,164.93
2022-11-29,167.49
2022-11-30,167.55
2022-12-01,166.4
2022-12-02,165.3
2022-12-05,164.79
2022-12-06,166.32
2022-12-07,165.84
2022-12-08,172.01
2022-12-09,173.15
2022-12-12,170.46
2022-12-13,168.8
2022-12-14,172.91
2022-12-15,169.14
2022-12-16,163.43
2022-12-19,161.88
2022-12-20,156.94
2022-12-21,158.83
2022-12-22,154.62
2022-12-23,153.39
2022-12-26,151.53
2022-12-27,144.34
2022-12-28,146.79
2022-12-29,146.1
2022-12-30,144.67
2023-01-02,145.32
2023-01-03,139.8
2023-01-04,139.33
2023-01-05,134.96
2023-01-06,130.0
2023-01-09,127.45
2023-01-10,125.56
2023-01-11,128.48
2023-01-12,128.27
2023-01-13,126.42
2023-01-16,125.45
2023-01-17,127.98
2023-01-18,126.08
2023-01-19,121.38
2023-01-20,119.94
2023-01-23,121.03
2023-01-24,124.2
2023-01-25,124.85
2023-01-26,122.35
2023-01-27,120.92
2023-01-30,116.19
2023-01-31,112.5
2023-02-01,112.96
2023-02-02,110.0
2023-02-03,112.38
2023-02-06,109.85
2023-02-07,107.44
2023-02-08,106.48
2023-02-09,105.82
2023-02-10,103.11
2023-02-13,99.16
2023-02-14,101.62
2023-02-15,100.96
2023-02-16,105.51
2023-02-17,105.75
2023-02-20,107.16
2023-02-21,104.26
2023-02-22,102.15
2023-02-23,100.97
2023-02-24,99.23
2023-02-27,97.55
2023-02-28,95.87
2023-03-01,94.54
2023-03-02,94.39
2023-03-03,91.49
2023-03-06,89.89
2023-03-07,90.51
2023-03-08,91.08
2023-03-09,88.73
2023-03-10,90.45
2023-03-13,91.82
2023-03-14,90.38
2023-03-15,91.27
2023-03-16,88.48
2023-03-17,88.55
2023-03-20,85.25
2023-03-21,85.52
2023-03-22,84.06
2023-03-23,84.18
2023-03-24,84.55
2023-03-27,83.18
2023-03-28,80.97
2023-03-29,81.06
2023-03-30,78.51
2023-03-31,78.71
2023-04-03,77.77
2023-04-04,75.97
2023-04-05,73.94
2023-04-06,72.77
2023-04-07,73.25
2023-04-10,71.32
2023-04-11,71.58
2023-04-12,72.34
2023-04-13,70.7
2023-04-14,70.52
2023-04-17,68.92
2023-04-18,69.66
2023-04-19,70.26
2023-04-20,70.04
2023-04-21,70.76
2023-04-24,69.62
2023-04-25,72.23
2023-04-26,72.28
2023-04-27,74.58
2023-04-28,75.09
2023-05-01,73.29
2023-05-02,74.8
2023-05-03,73.02
2023-05-04,71.15
2023-05-05,71.49
2023-05-08,72.22
2023-05-09,73.33
2023-05-10,75.25
2023-05-11,75.41
2023-05-12,75.84
2023-05-15,75.15
2023-05-16,77.12
2023-05-17,81.52
2023-05-18,82.01
2023-05-19,83.2
2023-05-22,80.91
2023-05-23,82.05
2023-05-24,81.4
2023-05-25,83.48
2023-05-26,83.87
2023-05-29,87.75
2023-05-30,89.84
2023-05-31,89.21
2023-06-01,89.64
2023-06-02,89.55
2023-06-05,93.18
2023-06-06,95.38
2023-06-07,96.39
2023-06-08,95.5
2023-06-09,97.74
2023-06-12,97.32
2023-06-13,97.92
2023-06-14,99.76
2023-06-15,99.34
2023-06-16,101.92
2023-06-19,103.84
2023-06-20,105.13
2023-06-21,105.86
2023-06-22,104.18
2023-06-23,105.32
2023-06-26,103.28
2023-06-27,104.67
2023-06-28,108.16
2023-06-29,108.09
2023-06-30,109.03
2023-07-03,108.36
2023-07-04,111.78
2023-07-05,114.18
2023-07-06,120.19
2023-07-07,121.72
2023-07-10,123.49
2023-07-11,126.48
2023-07-12,123.56
2023-07-13,122.71
2023-07-14,118.86
2023-07-17,117.53
2023-07-18,114.6
2023-07-19,117.85
2023-07-20,117.9
2023-07-21,122.55
2023-07-24,126.33
2023-07-25,130.15
2023-07-26,129.27
2023-07-27,131.4
2023-07-28,130.27
2023-07-31,131.13
2023-08-01,135.62
2023-08-02,139.08
2023-08-03,142.96
2023-08-04,145.65
2023-08-07,145.72
2023-08-08,143.2
2023-08-09,145.55
2023-08-10,147.77
2023-08-11,145.11
2023-08-14,147.09
2023-08-15,147.84
2023-08-16,150.55
2023-08-17,156.15
2023-08-18,159.33
2023-08-21,162.54
2023-08-22,163.85
2023-08-23,162.32
2023-08-24,160.54
2023-08-25,161.22
2023-08-28,165.28
2023-08-29,163.48
2023-08-30,164.78
2023-08-31,168.64
2023-09-01,169.63
2023-09-04,175.32
2023-09-05,179.3
2023-09-06,184.38
2023-09-07,185.91
2023-09-08,187.89
2023-09-11,191.8
2023-09-12,188.62
2023-09-13,195.4
2023-09-14,200.23
2023-09-15,194.96
2023-09-18,198.95
2023-09-19,205.72
2023-09-20,203.17
2023-09-21,204.75
2023-09-22,208.22
2023-09-25,207.81
2023-09-26,206.96
2023-09-27,209.95
2023-09-28,217.53
2023-09-29,222.69
2023-10-02,231.31
2023-10-03,231.43
2023-10-04,228.44
2023-10-05,232.56
2023-10-06,227.49
2023-10-09,225.66
2023-10-10,227.28
2023-10-11,230.13
2023-10-12,226.12
2023-10-13,222.68
2023-10-16,221.87
2023-10-17,224.64
2023-10-18,227.28
2023-10-19,222.08
2023-10-20,227.64
2023-10-23,232.17
2023-10-24,225.44
2023-10-25,238.4
2023-10-26,237.1
2023-10-27,242.31
2023-10-30,239.95
2023-10-31,240.89
2023-11-01,244.21
2023-11-02,247.38
2023-11-03,252.75
2023-11-06,253.44
2023-11-07,257.73
2023-11-08,262.95
2023-11-09,265.65
2023-11-10,269.82
2023-11-13,275.8
2023-11-14,271.2
2023-11-15,270.19
2023-11-16,274.1
2023-11-17,273.7
2023-11-20,266.91
2023-11-21,264.85
2023-11-22,265.03
2023-11-23,267.69
2023-11-24,262.02
2023-11-27,265.84
2023-11-28,269.02
2023-11-29,272.53
2023-11-30,275.02
2023-12-01,283.12
2023-12-04,276.35
2023-12-05,271.09
2023-12-06,270.05
2023-12-07,263.15
2023-12-08,261.64
2023-12-11,271.62
2023-12-12,278.12
2023-12-13,267.95
2023-12-14,272.09
2023-12-15,273.17
2023-12-18,268.82
2023-12-19,268.25
2023-12-20,272.47
2023-12-21,268.18
2023-12-22,270.79
2023-12-25,272.39
2023-12-26,261.47
2023-12-27,253.98
2023-12-28,246.2
2023-12-29,248.52
2024-01-01,250.4
2024-01-02,252.42
2024-01-03,251.87
2024-01-04,248.41
2024-01-05,247.52
2024-01-08,241.18
2024-01-09,235.85
2024-01-10,235.68
2024-01-11,234.39
2024-01-12,231.2
2024-01-15,236.66
2024-01-16,238.16
2024-01-17,238.8
2024-01-18,239.79
2024-01-19,242.48
2024-01-22,236.19
2024-01-23,237.37
2024-01-24,235.41
2024-01-25,236.51
2024-01-26,244.46
2024-01-29,240.98
2024-01-30,248.79
2024-01-31,248.08
2024-02-01,245.15
2024-02-02,238.1
2024-02-05,230.74
2024-02-06,227.89
2024-02-07,227.9
2024-02-08,224.06
2024-02-09,216.95
2024-02-12,219.85
2024-02-13,222.89
2024-02-14,225.67
2024-02-15,226.48
2024-02-16,221.98
2024-02-19,222.66
2024-02-20,218.45
2024-02-21,217.61
2024-02-22,215.86
2024-02-23,211.18
2024-02-26,206.68
2024-02-27,207.81
2024-02-28,198.11
2024-02-29,201.9
2024-03-01,203.66
2024-03-04,203.65
2024-03-05,198.54
2024-03-06,192.23
2024-03-07,181.36
2024-03-08,180.41
2024-03-11,174.26
2024-03-12,180.36
2024-03-13,184.78
2024-03-14,188.7
2024-03-15,185.27
2024-03-18,177.33
2024-03-19,178.07
2024-03-20,175.66
2024-03-21,171.7
2024-03-22,167.66
2024-03-25,165.06
2024-03-26,162.59
2024-03-27,160.28
2024-03-28,159.0
2024-03-29,159.44
2024-04-01,157.55
2024-04-02,154.11
2024-04-03,153.58
2024-04-04,152.01
2024-04-05,153.01
2024-04-08,152.69
2024-04-09,152.86
2024-04-10,151.54
2024-04-11,150.08
2024-04-12,147.37
2024-04-15,149.23
2024-04-16,145.93
2024-04-17,146.07
2024-04-18,138.61
2024-04-19,135.02
2024-04-22,136.77
2024-04-23,132.03
2024-04-24,131.45
2024-04-25,123.61
2024-04-26,123.84
2024-04-29,124.62
2024-04-30,119.02
2024-05-01,118.11
2024-05-02,116.56
2024-05-03,118.31
2024-05-06,114.84
2024-05-07,112.06
2024-05-08,108.61
2024-05-09,111.99
2024-05-10,109.36
2024-05-13,108.5
2024-05-14,106.68
2024-05-15,105.51
2024-05-16,104.81
2024-05-17,102.16
2024-05-20,99.49
2024-05-21,97.98
2024-05-22,99.81
2024-05-23,100.68
2024-05-24,97.24
2024-05-27,95.27
2024-05-28,97.29
2024-05-29,101.15
2024-05-30,99.0
2024-05-31,95.95
2024-06-03,95.47
2024-06-04,94.79
2024-06-05,95.02
2024-06-06,94.64
2024-06-07,95.34
2024-06-10,95.43
2024-06-11,94.73
2024-06-12,94.37
2024-06-13,94.27
2024-06-14,94.56
2024-06-17,94.52
2024-06-18,93.69
2024-06-19,95.66
2024-06-20,93.87
2024-06-21,94.39
2024-06-24,93.38
2024-06-25,94.42
2024-06-26,94.41
2024-06-27,92.9
2024-06-28,91.34
2024-07-01,92.01
2024-07-02,92.24
2024-07-03,91.32
2024-07-04,89.52
2024-07-05,86.47
2024-07-08,86.33
2024-07-09,87.15
2024-07-10,86.02
2024-07-11,85.87
2024-07-12,87.03
2024-07-15,86.82
2024-07-16,91.12
2024-07-17,88.91
2024-07-18,90.01
2024-07-19,93.44
2024-07-22,93.32
2024-07-23,94.57
2024-07-24,94.39
2024-07-25,97.95
2024-07-26,98.58
2024-07-29,104.54
2024-07-30,105.77
2024-07-31,105.11
2024-08-01,104.65
2024-08-02,105.18
2024-08-05,102.35
2024-08-06,101.89
2024-08-07,103.55
2024-08-08,103.77
2024-08-09,102.23
2024-08-12,102.69
2024-08-13,104.36
2024-08-14,105.47
2024-08-15,103.91
2024-08-16,105.73
2024-08-19,103.07
2024-08-20,108.26
2024-08-21,106.88
2024-08-22,108.5
2024-08-23,106.86
2024-08-26,108.18
2024-08-27,111.47
2024-08-28,113.9
2024-08-29,117.72
2024-08-30,120.03
2024-09-02,120.91
2024-09-03,123.02
2024-09-04,124.46
2024-09-05,133.3
2024-09-06,135.65
2024-09-09,140.76
2024-09-10,139.56
2024-09-11,141.78
2024-09-12,145.58
2024-09-13,148.44
2024-09-16,144.74
2024-09-17,146.42
2024-09-18,149.31
2024-09-19,154.71
2024-09-20,160.32
2024-09-23,160.61
2024-09-24,159.83
2024-09-25,165.26
2024-09-26,160.54
2024-09-27,164.89
2024-09-30,161.67
2024-10-01,161.99
2024-10-02,162.8
2024-10-03,167.49
2024-10-04,167.94
2024-10-07,171.76
2024-10-08,174.86
2024-10-09,177.99
2024-10-10,184.55
2024-10-11,188.6
2024-10-14,188.2
2024-10-15,189.38
2024-10-16,188.61
2024-10-17,186.45
2024-10-18,190.91
2024-10-21,194.5
2024-10-22,201.08
2024-10-23,212.46
2024-10-24,211.17
2024-10-25,216.9
2024-10-28,214.9
2024-10-29,219.92
2024-10-30,227.51
2024-10-31,225.94
2024-11-01,234.65
2024-11-04,235.08
2024-11-05,240.14
2024-11-06,248.89
2024-11-07,246.35
2024-11-08,246.27
2024-11-11,252.16
2024-11-12,245.36
2024-11-13,239.81
